Point,Time,Type,Reach #,Easting (m),Northing (m),Height (m),Etrex ID
T990103-001,11:25,EG001,NA,0.001,17.419,0.817,1112
T990103-002,11:31,EG002,NA,5.354,17.911,0.915,1113
T990103-003,11:32,EG003,NA,12.004,17.122,0.79,1114
T990103-004,11:34,EG004,NA,14.496,10.102,0.23,1115
T990103-005,11:35,EG005,NA,6.837,1.471,1.019,1116
T990103-006,11:36,EG006,NA,5.163,-0.84,0.799,1117
T990103-007,11:37,EG007,NA,3.104,0.411,1.092,1118
T990103-008,11:39,EG008,NA,2.424,10.3,0.317,1119
T990103-009,11:49,EG009,NA,17.256,10.478,0.244,1120
T990103-010,11:51,B/G,1,7.499,-2.485,0.452,1121
T990103-011,11:51,B/PF,1,7.586,-2.516,-0.008,1121
T990103-012,11:52,WL/G,1,6.84,2.37,1.042,1122
T990103-013,11:52,WL/PF,1,6.945,2.397,0.567,1122
T990103-014,11:53,W/B,1,6.533,5.357,0.398,1123
T990103-015,11:54,W/PF,1,6.631,5.42,-0.1,1123
T990103-016,11:54,W/B,1,6.273,8.27,0.393,1124
T990103-017,11:55,W/PF,1,6.327,8.335,-0.083,1124
T990103-018,11:55,W/B,1,6.047,11.269,0.416,1125
T990103-019,11:55,W/PF,1,6.129,11.34,-0.151,1125
T990103-020,11:56,W/B,1,5.793,14.228,0.466,1126
T990103-021,11:56,W/PF,1,5.806,14.311,-0.06,1126
T990103-022,11:57,WL/G,1,5.598,17.132,0.957,1127
T990103-023,11:57,WL/PF,1,5.629,17.263,0.404,1127
T990103-024,11:57,B/G,1,5.348,22.131,0.478,1128
T990103-025,11:58,B/PF,1,5.37,22.237,-0.022,1128
T990103-026,12:10,B/G,2,5.263,-3.601,0.397,1129
T990103-027,12:11,B/PF,2,5.216,-3.653,0.098,1129
T990103-028,12:12,WL/G,2,4.266,1.006,1.114,1130
T990103-029,12:13,WL/PF,2,4.228,0.961,0.795,1130
T990103-030,12:14,W/B,2,3.735,3.865,0.584,1131
T990103-031,12:15,W/PF,2,3.766,3.847,0.279,1131
T990103-032,12:16,W/B,2,3.01,6.673,0.431,1132
T990103-033,12:17,W/PF,2,2.962,6.724,0.071,1132
T990103-034,12:17,W/B,2,2.42,9.591,0.444,1133
T990103-035,12:18,W/PF,2,2.423,9.646,0.021,1133
T990103-036,12:19,W/B,2,1.862,12.687,0.441,1134
T990103-037,12:19,W/PF,2,1.821,12.676,0.074,1134
T990103-038,12:20,WL/G,2,1.326,16.062,0.832,1135
T990103-039,12:20,WL/PF,2,1.264,16.018,0.451,1135
T990103-040,12:20,B/G,2,0.405,19.921,0.534,1136
T990103-041,12:21,B/PF,2,0.416,19.912,0.169,1136
T990103-042,12:32,B/G,3,2.925,-3.689,0.348,1137
T990103-043,12:32,B/PF,3,2.972,-3.729,-0.283,1137
T990103-044,12:34,WL/G,3,1.924,1.094,1.094,1138
T990103-045,12:34,WL/PF,3,2.032,1.146,0.502,1138
T990103-046,12:35,W/B,3,1.329,4.932,0.34,1139
T990103-047,12:36,W/PF,3,1.367,5.067,-0.209,1139
T990103-048,12:37,W/B,3,0.808,8.84,0.315,1140
T990103-049,12:37,W/PF,3,0.841,8.987,-0.378,1140
T990103-050,12:37,W/B,3,-0.051,12.817,0.396,1141
T990103-051,12:38,W/PF,3,-0.061,12.951,-0.237,1141
T990103-052,12:38,WL/G,3,-1.001,16.721,0.877,1142
T990103-053,12:39,WL/PF,3,-1.004,16.856,0.19,1142
T990103-054,12:40,B/G,3,-2.09,21.72,0.183,1143
T990103-055,12:40,B/PF,3,-2.085,21.864,-0.508,1143
