"","Code","Point","Time","Type","Reach..","Easting..m.","Northing..m.","Height..m.","X","Y","ele","time","Transformed_Lon","Transformed_Lat"
"1",1112,"T990103-001","11:25","EG001",NA,0.001,17.419,0.817,-147.811568,64.832616,139.721695,"2021/08/03 19:31:24+00",-147.811568,64.832616
"2",1113,"T990103-002","11:31","EG002",NA,5.354,17.911,0.915,-147.811527,64.832662,137.340103,"2021/08/03 19:33:00+00",-147.811527,64.832662
"3",1114,"T990103-003","11:32","EG003",NA,12.004,17.122,0.79,-147.811354,64.832672,138.707153,"2021/08/03 19:34:34+00",-147.811354,64.832672
"4",1115,"T990103-004","11:34","EG004",NA,14.496,10.102,0.23,-147.811254,64.832584,138.199112,"2021/08/03 19:36:04+00",-147.810702963605,64.8324493366875
"5",1116,"T990103-005","11:35","EG005",NA,6.837,1.471,1.019,-147.811218,64.832538,138.585526,"2021/08/03 19:36:45+00",-147.81007056941,64.8321166138025
"6",1117,"T990103-006","11:36","EG006",NA,5.163,-0.84,0.799,-147.811258,64.832536,137.422562,"2021/08/03 19:38:17+00",-147.809895338009,64.832029596895
"7",1118,"T990103-007","11:37","EG007",NA,3.104,0.411,1.092,-147.81144,64.832569,137.857803,"2021/08/03 19:39:34+00",-147.810036664601,64.8320603968257
"8",1119,"T990103-008","11:39","EG008",NA,2.424,10.3,0.317,-147.811266,64.832522,140.137634,"2021/08/03 19:42:48+00",-147.810909414438,64.8323896239164
"9",1120,"T990103-009","11:49","EG009",NA,17.256,10.478,0.244,-147.811362,64.832695,136.017654,"2021/08/03 19:48:10+00",-147.810692488016,64.8324771729698
"10",1121,"T990103-010","11:51","B/G",1,7.499,-2.485,0.452,-147.811187,64.832568,135.410233,"2021/08/03 19:52:23+00",-147.809715322608,64.8319870539651
"11",1121,"T990103-011","11:51","B/PF",1,7.586,-2.516,-0.008,-147.811187,64.832568,135.410233,"2021/08/03 19:52:23+00",-147.809711256677,64.8319864885651
"12",1122,"T990103-012","11:52","WL/G",1,6.84,2.37,1.042,-147.811245,64.832571,139.860245,"2021/08/03 19:53:22+00",-147.810148894488,64.8321468999494
"13",1122,"T990103-013","11:52","WL/PF",1,6.945,2.397,0.567,-147.811245,64.832571,139.860245,"2021/08/03 19:53:22+00",-147.810149602728,64.8321483864056
"14",1123,"T990103-014","11:53","W/B",1,6.533,5.357,0.398,-147.811323,64.83259,139.144821,"2021/08/03 19:54:43+00",-147.810414103325,64.8322457852257
"15",1123,"T990103-015","11:54","W/PF",1,6.631,5.42,-0.1,-147.811323,64.83259,139.144821,"2021/08/03 19:54:43+00",-147.810418059639,64.8322484453242
"16",1124,"T990103-016","11:54","W/B",1,6.273,8.27,0.393,-147.811362,64.832588,139.883881,"2021/08/03 19:55:42+00",-147.810672124494,64.8323424373312
"17",1124,"T990103-017","11:55","W/PF",1,6.327,8.335,-0.083,-147.811362,64.832588,139.883881,"2021/08/03 19:55:42+00",-147.81067694472,64.8323449228307
"18",1125,"T990103-018","11:55","W/B",1,6.047,11.269,0.416,-147.811405,64.832613,142.695145,"2021/08/03 19:56:25+00",-147.81093711004,64.832442172041
"19",1125,"T990103-019","11:55","W/PF",1,6.129,11.34,-0.151,-147.811405,64.832613,142.695145,"2021/08/03 19:56:25+00",-147.810942014518,64.8324450135243
"20",1126,"T990103-020","11:56","W/B",1,5.793,14.228,0.466,-147.81145,64.832598,142.500916,"2021/08/03 19:57:04+00",-147.811199047318,64.8325404059748
"21",1126,"T990103-021","11:56","W/PF",1,5.806,14.311,-0.06,-147.81145,64.832598,142.500916,"2021/08/03 19:57:04+00",-147.811206079273,64.8325432720967
"22",1127,"T990103-022","11:57","WL/G",1,5.598,17.132,0.957,-147.811561,64.832614,140.551468,"2021/08/03 19:57:32+00",-147.811455265227,64.8326371124584
"23",1127,"T990103-023","11:57","WL/PF",1,5.629,17.263,0.404,-147.811561,64.832614,140.551468,"2021/08/03 19:57:32+00",-147.811466199585,64.8326416937328
"24",1128,"T990103-024","11:57","B/G",1,5.348,22.131,0.478,-147.811663,64.832629,139.848984,"2021/08/03 19:58:25+00",-147.81189498083,64.8328040559152
"25",1128,"T990103-025","11:58","B/PF",1,5.37,22.237,-0.022,-147.811663,64.832629,139.848984,"2021/08/03 19:58:25+00",-147.811903876809,64.8328077459429
"26",1129,"T990103-026","12:10","B/G",2,5.263,-3.601,0.397,-147.811135,64.832558,140.581238,"2021/08/03 20:04:24+00",-147.809653075226,64.8319371829024
"27",1129,"T990103-027","12:11","B/PF",2,5.216,-3.653,0.098,-147.811135,64.832558,140.581238,"2021/08/03 20:04:24+00",-147.809649278597,64.8319351736081
"28",1130,"T990103-028","12:12","WL/G",2,4.266,1.006,1.114,-147.811164,64.832541,140.406372,"2021/08/03 20:10:34+00",-147.810070324281,64.8320868201001
"29",1130,"T990103-029","12:13","WL/PF",2,4.228,0.961,0.795,-147.811164,64.832541,140.406372,"2021/08/03 20:10:34+00",-147.810066996845,64.832085095986
"30",1131,"T990103-030","12:14","W/B",2,3.735,3.865,0.584,-147.811272,64.832561,138.933762,"2021/08/03 20:12:42+00",-147.810327884947,64.8321801638768
"31",1131,"T990103-031","12:15","W/PF",2,3.766,3.847,0.279,-147.811272,64.832561,138.933762,"2021/08/03 20:12:42+00",-147.810325829936,64.832179728268
"32",1132,"T990103-032","12:16","W/B",2,3.01,6.673,0.431,-147.811312,64.832562,138.205734,"2021/08/03 20:14:41+00",-147.810584039914,64.8322707237303
"33",1132,"T990103-033","12:17","W/PF",2,2.962,6.724,0.071,-147.811312,64.832562,138.205734,"2021/08/03 20:14:41+00",-147.810589238185,64.8322721769841
"34",1133,"T990103-034","12:17","W/B",2,2.42,9.591,0.444,-147.811381,64.832567,137.882248,"2021/08/03 20:16:39+00",-147.810847668656,64.8323657296387
"35",1133,"T990103-035","12:18","W/PF",2,2.423,9.646,0.021,-147.811381,64.832567,137.882248,"2021/08/03 20:16:39+00",-147.810852416374,64.8323675980042
"36",1134,"T990103-036","12:19","W/B",2,1.862,12.687,0.441,-147.811479,64.832578,141.17424,"2021/08/03 20:19:31+00",-147.811126313401,64.8324669048269
"37",1134,"T990103-037","12:19","W/PF",2,1.821,12.676,0.074,-147.811479,64.832578,141.17424,"2021/08/03 20:19:31+00",-147.811125996998,64.832466309009
"38",1135,"T990103-038","12:20","WL/G",2,1.326,16.062,0.832,-147.811546,64.832576,139.289627,"2021/08/03 20:21:02+00",-147.811428935741,64.8325775950146
"39",1135,"T990103-039","12:20","WL/PF",2,1.264,16.018,0.451,-147.811546,64.832576,139.289627,"2021/08/03 20:21:02+00",-147.811426071605,64.8325757726036
"40",1136,"T990103-040","12:20","B/G",2,0.405,19.921,0.534,-147.811611,64.832583,138.256165,"2021/08/03 20:21:31+00",-147.811779785369,64.8327024646813
