Stream,Reach,Date,Time,Left etrex,Left point,Right etrex,Right point,ID,Type,Shoreline Person,Notes
1,3,8/14,13:49,Blue UMass,105,Orange UNC,100,Waypoint,CS,,
1,3,8/14,,Blue UMass,106,Orange UNC,101,Waypoint,CS,,"change in slope, rocky"
1,3,8/14,,Blue UMass,107,Orange UNC,102,Waypoint,CS,,"still high slope, less rocky, tiny waterfalls"
1,3,8/14,,Blue UMass,108,Orange UNC,103,Waypoint,CS,,grass lumps
1,3,8/14,,Blue UMass,109,Orange UNC,104,Waypoint,BS,,start of bead
1,3,8/14,,Blue UMass,110,Orange UNC,105,Waypoint,BE,,end of bead
1,3,8/14,,Blue UMass,111,Orange UNC,106,Waypoint,BS,,
1,3,8/14,,Blue UMass,112,Orange UNC,107,Waypoint,BE,,
1,3,8/14,,Blue UMass,113,Orange UNC,108,Waypoint,BS,,
1,3,8/14,,Blue UMass,114,Orange UNC,109,Waypoint,BE,,
1,3,8/14,,Blue UMass,115,Orange UNC,110,Waypoint,BS,,
1,3,8/14,,Blue UMass,116,Orange UNC,111,Waypoint,BE,,
1,3,8/14,,Blue UMass,117,Orange UNC,112,Waypoint,BS,,
1,3,8/14,,Blue UMass,118,Orange UNC,113,Waypoint,BE,,
1,3,8/14,,Blue UMass,119,Orange UNC,114,Waypoint,BS,,
1,3,8/14,,Blue UMass,120,Orange UNC,115,Waypoint,BE,,
1,3,8/14,14:11:00,Blue UMass,14:11:34,Orange UNC,14:11:37,Track,,,
1,2,8/14,17:06:00,UNC,,Blue UMass,,Waypoint,,,
8,2,8/15/21,,UNC,152,Blue UMass,161,Waypoint,BS,,
8,2,8/15/21,,UNC,153,Blue UMass,162,Waypoint,BE,,
8,2,8/15/21,,UNC,154,Blue UMass,163,Waypoint,BS,,
8,2,8/15,,UNC,155,Blue UMass,164,Waypoint,BE,,Couldn't accurately follow chutes on foot. gnarly multi-channel through shrubs. Beads are good.
8,2,8/15,,UNC,156,Blue UMass,165,Waypoint,BS,,
8,2,8/15,,UNC,157,Blue UMass,167,Waypoint,BE,,
8,2,8/15,,UNC,158,Blue UMass,168,Waypoint,BS,,
8,2,8/15,,UNC,159,Blue UMass,169,Waypoint,BE,,
8,2,8/15,,UNC,160,Blue UMass,170,Waypoint,BS,,
8,2,8/15,,UNC,161,Blue UMass,171,Waypoint,BE,,
8,2,8/15,,UNC,162,Blue UMass,172,Waypoint,CS,,"Not really a bead, but too wide, slow, and long between beads to say it's a chute."
8,2,8/15,,UNC,163,Blue UMass,173,Waypoint,BS,,
8,2,8/15,,UNC,164,Blue UMass,174,Waypoint,BE,,"Not a definite chute at the end, looks more alluvial for the next 30m until it goes around a bend."
8,2,8/15,,UNC,15:45:39,Blue UMass,15:45:22,Track,,,
3,1,8/16,13:45,Blue UMass,188,Orange UMass,1289,Waypoint,CE,"TL, BB",
3,1,8/16,,Blue UMass,189,Orange UMass,1290,Waypoint,BE,"TL, BB","very irregular- pool to the side of the chute, not in line."
3,1,8/16,,Blue UMass,191,Orange UMass,1291,Waypoint,BS,"TL, BB",Vegetated bar in long chute to bead
3,1,8/16/21,,Blue UMass,192,Orange UMass,1292,Waypoint,BE,"TL, BB",
3,1,8/16,,Blue UMass,193,Orange UMass,1293,Waypoint,BS,"TL, BB",1m waterfall
3,1,8/16,,Blue UMass,194,Orange UMass,1294,Waypoint,BE,"TL, BB",
3,1,8/16/21,,Blue UMass,195,Orange UMass,1295,Waypoint,BS,"TL, BB",
3,1,8/16/21,,Blue UMass,196,Orange UMass,1296,Waypoint,BE,"TL, BB",
3,1,8/16/21,,Blue UMass,197,Orange UMass,1297,Waypoint,BS,"TL, BB",big pool 10m wide
3,1,8/16/21,,Blue UMass,198,Orange UMass,1298,Waypoint,BE,"TL, BB",
3,1,8/16/21,,Blue UMass,199,Orange UMass,1299,Waypoint,BS,"TL, BB",
3,1,8/16/21,,Blue UMass,200,Orange UMass,1300,Waypoint,BE,"TL, BB",small 6m round
3,1,8/16/21,,Blue UMass,201,Orange UMass,1301,Waypoint,BS,"TL, BB",
3,1,8/16/21,,Blue UMass,202,Orange UMass,1302,Waypoint,BE,"TL, BB",might be more of a wide chute? high slope
3,1,8/16/21,,Blue UMass,203,Orange UMass,,Waypoint,,"TL, BB",Brady left the bank to walk around a tributary from 203 to 204
3,1,8/16/21,,Blue UMass,204,Orange UMass,,Waypoint,,"TL, BB",
3,1,8/16/21,,Blue UMass,205,Orange UMass,1303,Waypoint,BS,"TL, BB",Long chute between 1303 and 1304
3,1,8/16/21,,Blue UMass,206,Orange UMass,1304,Waypoint,BE,"TL, BB",
3,1,8/16/2021,,Blue UMass,207,Orange UMass,1305,Waypoint,BS,"TL, BB",Looks like 100+m of chute upstream
3,1,8/16/2021,16:01,Blue UMass,2021-08-16 16:01:22,Orange UMass,2021-08-16 16:02:45,Track,,"TL, BB",
3,2,8/16/2021,11:41,Blue UMass,176,UNC,168,Waypoint,Start of track,"MH, BB",
3,2,8/16/2021,,Blue UMass,177,UNC,169,Waypoint,BS,"MH, BB",Could be wide channel
3,2,8/16/2021,,Blue UMass,178,UNC,170,Waypoint,,"MH, BB",Island
3,2,8/16/2021,,Blue UMass,179,UNC,171,Waypoint,BE,"MH, BB",Waterfall
3,2,8/16/2021,,Blue UMass,180,UNC,172,Waypoint,BS,"MH, BB",
3,2,8/16/2021,,Blue UMass,181,UNC,173,Waypoint,BE,"MH, BB",181 marked twice in the field notes.
3,2,8/16/2021,,Blue UMass,181,UNC,174,Waypoint,BS,"MH, BB",Ambiguous bead
3,2,8/16/2021,,Blue UMass,182,UNC,175,Waypoint,BE,"MH, BB",
3,2,8/16/2021,,Blue UMass,183,UNC,176,Waypoint,BS,"MH, BB",
3,2,8/16/2021,,Blue UMass,184,UNC,177,Waypoint,BE,"MH, BB",Small beads in channel
3,2,8/16/2021,,Blue UMass,185,UNC,178,Waypoint,BS,"MH, BB",
