Icon	Name	Ground Northing (m)	Ground Easting (m)	Elevation (m)	Code	Control	Source	Note
 	1	 	 	 	STN	None	 	 
 	2	2105.7	2034.547	9.814	SET13	None	 	 
 	3	1894.296	1965.449	9.808	SET13	None	 	 
 	4	2105.704	2034.545	9.811	SET13	None	 	 
 	5	1894.299	1965.458	9.808	SET13	None	 	 
 	6	1883.383	1959.615	9.864	SET14	None	 	 
 	7	2116.614	2040.39	9.871	SET14	None	 	 
 	8	1883.382	1959.621	9.868	SET14	None	 	 
 	9	2116.616	2040.385	9.871	SET14	None	 	 
 	10	2138.367	2036.161	9.878	SET15	None	 	 
 	11	1861.629	1963.841	9.88	SET15	None	 	 
 	12	2138.375	2036.162	9.877	SET15	None	 	 
 	13	1861.631	1963.839	9.879	SET15	None	 	 
 	14	1839.845	1930.337	10.581	pt1	None	 	 
 	15	2160.151	2069.668	10.58	pt1	None	 	 
 	16	1839.849	1930.332	10.581	pt1	None	 	 
 	17	2160.154	2069.668	10.581	pt1	None	 	 
 	18	2043.741	2030.98	10.368	pt2	None	 	 
 	19	1956.259	1969.025	10.37	pt2	None	 	 
 	20	2043.738	2030.978	10.366	pt2	None	 	 
 	21	1956.26	1969.024	10.37	pt2	None	 	 
 	22	1998.987	1990.811	10.487	pt3	None	 	 
 	23	2001.017	2009.19	10.487	pt3	None	 	 
 	24	1998.984	1990.808	10.487	pt3	None	 	 
 	25	2001.017	2009.195	10.488	pt3	None	 	 
 	26	1975.534	2000.906	10.128	transect1	None	 	 
 	27	1983.408	1995.395	10.138	transect1	None	 	 
 	28	1986.892	1991.039	10.157	transect1	None	 	 
 	29	1987.665	1989.499	9.845	transect1	None	 	 
 	30	1987.227	1990.049	9.96	transect1	None	 	 
 	31	1986.985	1990.458	10.049	transect1	None	 	 
 	32	1987.095	1990.27	10	transect1	None	 	 
 	33	1987.024	1990.381	10.033	transect1	None	 	 
 	34	1987.052	1990.33	10.022	transect1	None	 	 
 	35	1985.708	1992.326	10.213	transect1	None	 	 
 	36	1986.347	1991.291	10.177	transect1	None	 	 
 	37	1986.564	1990.836	10.135	transect1	None	 	 
 	38	1986.516	1990.928	10.159	transect1	None	 	 
 	39	1986.529	1990.871	10.149	transect1	None	 	 
 	40	1985.457	1992.723	10.229	transect1	None	 	 
 	41	1985.556	1992.717	10.229	transect1	None	 	 
 	42	1969.11	2007.304	10.136	transect1	None	 	 
 	43	1953.075	2017.446	10.548	transect1	None	 	 
 	44	1962.391	2011.893	10.311	transect1	None	 	 
 	45	1965.737	2009.78	10.271	transect1	None	 	 
 	46	1968.645	2008.024	10.141	transect1	None	 	 
 	47	1967.265	2008.829	10.193	transect1	None	 	 
 	48	1966.481	2009.018	10.263	transect1	None	 	 
 	49	1966.935	2008.883	10.232	transect1	None	 	 
 	50	1963.856	2011.013	10.289	transect1	None	 	 
 	51	1961.037	2012.826	10.306	transect1	None	 	 
 	52	1958.887	2014.135	10.317	transect1	None	 	 
 	53	1957.212	2015.093	10.379	transect1	None	 	 
 	54	1954.684	2016.71	10.46	transect1	None	 	 
 	55	1955.634	2016.125	10.44	transect1	None	 	 
 	56	1956.368	2015.689	10.417	transect1	None	 	 
 	57	1957.636	2015.13	10.368	transect1	None	 	 
 	58	1956.966	2015.774	10.406	transect1	None	 	 
 	59	2001.018	2009.178	10.488	pt3	None	 	 
 	60	1944.251	1928.29	9.985	transect2	None	 	 
 	61	1942.897	1929.081	10.041	transect2	None	 	 
 	62	1943.418	1928.907	10.05	transect2	None	 	 
 	63	1943.437	1928.776	10.048	transect2	None	 	 
 	64	1943.576	1928.751	10.03	transect2	None	 	 
 	65	1939.692	1931.616	10.076	transect2	None	 	 
 	66	1938.079	1932.621	10.075	transect2	None	 	 
 	67	1937.024	1933.328	10.083	transect2	None	 	 
 	68	1935.265	1934.359	10.094	transect2	None	 	 
 	69	1928.314	1940.576	10.069	transect2	None	 	 
 	70	1924.212	1944.708	10.116	transect2	None	 	 
 	71	1922.58	1946.11	10.153	transect2	None	 	 
 	72	1921.463	1946.255	10.156	transect2	None	 	 
 	73	1922.323	1945.311	10.159	transect2	None	 	 
 	74	1922.67	1944.771	10.144	transect2	None	 	 
 	75	1909.861	1957.774	10.28	transect2	None	 	 
 	76	1910.356	1954.084	10.271	transect2	None	 	 
 	77	1913.698	1951.863	10.28	transect2	None	 	 
 	78	1915.048	1950.495	10.231	transect2	None	 	 
 	79	1911.114	1953.79	10.296	transect2	None	 	 
 	80	1906.311	1957.896	10.339	transect2	None	 	 
 	81	1902.905	1963.539	10.336	transect2	None	 	 
 	82	1898.482	1963.464	10.364	transect2	None	 	 
 	83	1894.955	1965.868	10.38	transect2	None	 	 
 	84	1890.299	1969.725	10.445	transect2	None	 	 
 	85	1891.019	1968.851	10.411	transect2	None	 	 
 	86	1891.84	1968.457	10.366	transect2	None	 	 
 	87	1891.227	1968.912	10.397	transect2	None	 	 
 	88	1890.95	1969.194	10.42	transect2	None	 	 
 	89	1891.002	1969.031	10.41	transect2	None	 	 
 	90	2001.02	2009.188	10.488	pt3	None	 	 
 	91	1812.084	1940.259	10.557	pt6	None	 	 
 	92	2187.918	2059.744	10.559	pt6	None	 	 
 	93	1812.082	1940.261	10.558	pt6	None	 	 
 	94	2187.919	2059.742	10.563	pt6	None	 	 
 	95	2140.674	2125.574	9.813	transect3	None	 	 
 	96	1858.827	1875.137	9.929	transect3	None	 	 
 	97	1858.631	1875.282	9.967	transect3	None	 	 
 	98	1858.3	1875.64	10.039	transect3	None	 	 
 	99	1858.409	1875.518	10.031	transect3	None	 	 
 	100	1857.244	1877.188	10.208	transect3	None	 	 
 	101	1857.64	1876.554	10.132	transect3	None	 	 
 	102	1857.478	1876.748	10.161	transect3	None	 	 
 	103	1857.583	1876.668	10.147	transect3	None	 	 
 	104	1852.225	1889.852	10.426	transect3	None	 	 
 	105	1852.559	1888.816	10.385	transect3	None	 	 
 	106	1852.954	1887.31	10.289	transect3	None	 	 
 	107	1852.601	1889.294	10.416	transect3	None	 	 
 	108	1880.33	1884.891	9.904	rand	None	 	 
 	109	1878.769	1888.485	10.037	rand	None	 	 
 	110	1875.433	1895.683	10.318	rand	None	 	 
 	111	1869.686	1907.642	10.318	rand	None	 	 
 	112	1887.795	1892.221	10.024	rand	None	 	 
 	113	1887.098	1893.336	10.155	rand	None	 	 
 	114	1857.969	1936.584	10.851	pt7	None	 	 
 	115	2142.025	2063.433	10.858	pt7	None	 	 
 	116	1857.972	1936.571	10.85	pt7	None	 	 
 	117	2142.027	2063.432	10.853	pt7	None	 	 
 	118	2043.562	1995.072	10.321	rand	None	 	 
 	119	2039.751	1998.652	10.182	rand	None	 	 
 	120	2035.606	2002.41	10.05	rand	None	 	 
 	121	1998.975	1990.809	10.489	pt3	None	 	 
 	122	1807.946	1649.042	13.973	rand	None	 	 
 	123	2036.218	2013.659	10.044	rand	None	 	 
 	124	2041.499	2010.237	10.175	rand	None	 	 
 	125	2051.746	2005.789	10.32	rand	None	 	 
 	126	2042.812	2039.558	10.162	rand	None	 	 
 	127	2036.656	2052.66	10.314	rand	None	 	 
 	128	2043.735	2030.974	10.368	pt2	None	 	 
 	129	2066.802	2044.156	10.024	transect4	None	 	 
 	130	2066.131	2045.253	10.223	transect4	None	 	 
 	131	2066.403	2044.87	10.171	transect4	None	 	 
 	132	2066.62	2044.703	10.152	transect4	None	 	 
 	133	2066.179	2045.562	10.227	transect4	None	 	 
 	134	2066.08	2045.817	10.237	transect4	None	 	 
 	135	2064.529	2048.112	10.332	transect4	None	 	 
 	136	2065.029	2047.441	10.257	transect4	None	 	 
 	137	2064.744	2047.705	10.288	transect4	None	 	 
 	138	2060.264	2054.825	10.333	transect4	None	 	 
 	139	2055.56	2060.857	10.17	transect4	None	 	 
 	140	2052.886	2063.49	10.197	transect4	None	 	 
 	141	2051.44	2065.244	10.273	transect4	None	 	 
 	142	2050.753	2066.218	10.305	transect4	None	 	 
 	143	2050.306	2067.098	10.351	transect4	None	 	 
 	144	2049.484	2069.496	10.381	transect4	None	 	 
 	145	2049.56	2070.055	10.4	transect4	None	 	 
 	146	2160.154	2069.667	10.584	pt1	None	 	 
 	147	2154.062	2070.542	9.764	transect5	None	 	 
 	148	2153.729	2071.595	9.925	transect5	None	 	 
 	149	2153.677	2073.617	9.94	transect5	None	 	 
 	150	2153.342	2075.698	10.057	transect5	None	 	 
 	151	2153.422	2075.45	10.048	transect5	None	 	 
 	152	2153.58	2075.101	10.028	transect5	None	 	 
 	153	2153.247	2076.672	10.056	transect5	None	 	 
 	154	2152.57	2080.036	10.148	transect5	None	 	 
 	155	2151.862	2082.528	10.347	transect5	None	 	 
 	156	2152.182	2081.618	10.297	transect5	None	 	 
 	157	2152.233	2080.986	10.269	transect5	None	 	 
 	158	2152.29	2080.747	10.24	transect5	None	 	 
 	159	2151.984	2081.535	10.293	transect5	None	 	 
 	160	2151.676	2082.995	10.38	transect5	None	 	 
 	161	2151.284	2084.003	10.419	transect5	None	 	 
 	162	2151.628	2083.839	10.412	transect5	None	 	 
 	163	2197.223	2063.271	10.032	rand	None	 	 
 	164	2197.106	2063.821	10.164	rand	None	 	 
 	165	2133.341	2064.78	10.048	rand	None	 	 
 	166	2133.688	2080.151	10.316	rand	None	 	 
 	167	2278.14	2058.827	10.091	transect6	None	 	 
 	168	2278.063	2058.429	9.983	transect6	None	 	 
 	169	2278.058	2058.565	10.016	transect6	None	 	 
 	170	2278.237	2059.389	10.122	transect6	None	 	 
 	171	2278.783	2061.207	10.123	transect6	None	 	 
 	172	2278.923	2061.599	10.2	transect6	None	 	 
 	173	2278.843	2061.314	10.146	transect6	None	 	 
 	174	2279.246	2062.015	10.353	transect6	None	 	 
 	175	2279.21	2061.831	10.301	transect6	None	 	 
 	176	2279.564	2062.369	10.438	transect6	None	 	 
 	177	2279.354	2062.094	10.384	transect6	None	 	 
 	178	2279.41	2062.293	10.43	transect6	None	 	 
 	179	2279.391	2062.214	10.409	transect6	None	 	 
 	180	2279.064	2061.579	10.2	transect6	None	 	 
 	181	2279.099	2061.714	10.25	transect6	None	 	 
 	182	2279.067	2061.667	10.235	transect6	None	 	 
 	183	2160.132	2069.695	10.584	pt1	None	 	 
 	184	2160.136	2069.697	10.583	pt1	None
