Icon	#	Point From	Point To	Reflector Height (m)	Azimuth	Horizontal Circle	Slope Distance (m)	Zenith Angle	Date	Note	Code	Type	SDist Residual (m)	ZAngle Residual	Azimuth Residual	Cross Residual (m)	HAngle Residual
 	1	1	2	1.483	 	"18°05'57.0000"""	111.205	"90°21'45.0000"""	 	 	SET13	SS	 	 	 	 	 
 	2	1	3	1.483	 	"198°06'02.0000"""	111.21	"269°38'04.0000"""	 	 	SET13	SS	 	 	 	 	 
 	3	1	4	1.483	 	"18°05'52.0000"""	111.208	"90°21'52.0000"""	 	 	SET13	SS	 	 	 	 	 
 	4	1	5	1.483	 	"198°05'48.0000"""	111.204	"269°38'04.0000"""	 	 	SET13	SS	 	 	 	 	 
 	5	1	6	1.483	 	"199°06'05.0000"""	123.414	"269°41'48.0000"""	 	 	SET14	SS	 	 	 	 	 
 	6	1	7	1.483	 	"19°06'14.0000"""	123.412	"90°18'01.0000"""	 	 	SET14	SS	 	 	 	 	 
 	7	1	8	1.483	 	"199°05'54.0000"""	123.413	"269°41'54.0000"""	 	 	SET14	SS	 	 	 	 	 
 	8	1	9	1.483	 	"19°06'06.0000"""	123.412	"90°18'02.0000"""	 	 	SET14	SS	 	 	 	 	 
 	9	1	10	1.483	 	"14°38'47.0000"""	143.016	"90°15'23.0000"""	 	 	SET15	SS	 	 	 	 	 
 	10	1	11	1.483	 	"194°38'41.0000"""	143.019	"269°44'40.0000"""	 	 	SET15	SS	 	 	 	 	 
 	11	1	12	1.483	 	"14°38'45.0000"""	143.024	"90°15'25.0000"""	 	 	SET15	SS	 	 	 	 	 
 	12	1	13	1.483	 	"194°38'46.0000"""	143.017	"269°44'38.0000"""	 	 	SET15	SS	 	 	 	 	 
 	13	1	14	1.483	 	"203°30'28.0000"""	174.65	"270°01'13.0000"""	 	 	pt1	SS	 	 	 	 	 
 	14	1	15	1.483	 	"23°30'35.0000"""	174.648	"89°58'48.0000"""	 	 	pt1	SS	 	 	 	 	 
 	15	1	16	1.483	 	"203°30'35.0000"""	174.648	"270°01'14.0000"""	 	 	pt1	SS	 	 	 	 	 
 	16	1	17	1.483	 	"23°30'34.0000"""	174.651	"89°58'47.0000"""	 	 	pt1	SS	 	 	 	 	 
 	17	1	18	1.483	 	"35°18'29.0000"""	53.6	"90°09'36.0000"""	 	 	pt2	SS	 	 	 	 	 
 	18	1	19	1.483	 	"215°18'16.0000"""	53.598	"269°50'32.0000"""	 	 	pt2	SS	 	 	 	 	 
 	19	1	20	1.483	 	"35°18'31.0000"""	53.598	"90°09'40.0000"""	 	 	pt2	SS	 	 	 	 	 
 	20	1	21	1.483	 	"215°18'19.0000"""	53.598	"269°50'33.0000"""	 	 	pt2	SS	 	 	 	 	 
 	21	1	22	1.483	 	"263°42'29.0000"""	9.245	"269°48'55.0000"""	 	 	pt3	SS	 	 	 	 	 
 	22	1	23	1.483	 	"83°41'04.0000"""	9.246	"90°11'01.0000"""	 	 	pt3	SS	 	 	 	 	 
 	23	1	24	1.483	 	"263°41'38.0000"""	9.248	"269°48'53.0000"""	 	 	pt3	SS	 	 	 	 	 
 	24	1	25	1.483	 	"83°41'29.0000"""	9.251	"90°10'56.0000"""	 	 	pt3	SS	 	 	 	 	 
 	25	1	26	1.483	 	"177°52'45.0000"""	24.486	"90°54'35.0000"""	 	 	transect1	SS	 	 	 	 	 
 	26	1	27	1.483	 	"195°30'44.0000"""	17.223	"91°15'38.0000"""	 	 	transect1	SS	 	 	 	 	 
 	27	1	28	1.483	 	"214°21'30.0000"""	15.883	"91°17'56.0000"""	 	 	transect1	SS	 	 	 	 	 
