"","Code","Ground.Northing..m.","Ground.Easting..m.","Elevation..m.","Easting.SP","Northing.SP","Long","Lat"
"1","SET13",2105.70225,2034.54625,9.81025,256468.7365637,183992.8752847,-73.3254669,41.1163561
"2","SET14",2116.61625,2040.38475,9.8685,256480.5637925,183989.221859,-73.3253258,41.1163239
"3","SET15",2138.3705,2036.16075,9.8785,256501.1030425,183997.5237405,-73.3250819,41.1163999
"14","pt1",2160.155,2069.663,10.581,256528.891321952,183968.765175365,-73.3247488193229,41.116142533788
"15","pt1",2160.151,2069.668,10.58,256528.888353538,183968.759499444,-73.3247488542254,41.1161424824885
"16","pt1",2160.151,2069.668,10.581,256528.888353538,183968.759499444,-73.3247488542254,41.1161424824885
"17","pt1",2160.154,2069.668,10.581,256528.891297453,183968.760071992,-73.3247488192191,41.1161424878211
"18","pt2",2043.741,2030.98,10.368,256407.251220114,183984.553886624,-73.3261983090181,41.1162774801781
"19","pt2",2043.741,2030.975,10.37,256407.250263308,183984.558799148,-73.3261983207908,41.1162775243675
"20","pt2",2043.738,2030.978,10.366,256407.247893476,183984.555279086,-73.3261983487335,41.1162774925213
"21","pt2",2043.74,2030.976,10.37,256407.249473364,183984.557625794,-73.326198330105,41.1162775137521
"22","pt3",2001.013,2009.189,10.487,256361.152053948,183997.809042568,-73.3267482002558,41.116394116122
"23","pt3",2001.017,2009.19,10.487,256361.156170531,183997.80882346,-73.3267481512261,41.1163941143942
"24","pt3",2001.016,2009.192,10.487,256361.155571948,183997.806667601,-73.3267481581859,41.116394094941
"25","pt3",2001.017,2009.195,10.488,256361.157127337,183997.803910936,-73.3267481394535,41.1163940702049
"26","transect1",1975.534,2000.906,10.128,256334.564331118,184001.084482379,-73.3270650116852,41.1164220306078
"27","transect1",1983.408,1995.395,10.138,256341.236536599,184008.001812739,-73.326986107546,41.1164847324129
"28","transect1",1986.892,1991.039,10.157,256343.82183426,184012.946522079,-73.3269557098634,41.1165294231182
"29","transect1",1987.665,1989.499,9.845,256344.285686804,184014.607105834,-73.3269503158775,41.1165444074795
"30","transect1",1987.227,1990.049,9.96,256343.96112382,184013.983136267,-73.3269541318098,41.1165387680892
"31","transect1",1986.985,1990.458,10.049,256343.801914724,184013.535106315,-73.3269559926505,41.1165347232353
"32","transect1",1987.095,1990.27,10,256343.873882376,184013.740810621,-73.3269551517369,41.1165365802844
"33","transect1",1987.024,1990.381,10.033,256343.825450808,184013.6182023,-73.3269557188671,41.1165354730755
"34","transect1",1987.052,1990.33,10.022,256343.843167929,184013.67365382,-73.3269555122225,41.116535973578
