X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-147.811621,64.832573,139.444824,2021/08/03 19:23:23+00,,,1111,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811568,64.832616,139.721695,2021/08/03 19:31:24+00,,,1112,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811527,64.832662,137.340103,2021/08/03 19:33:00+00,,,1113,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811354,64.832672,138.707153,2021/08/03 19:34:34+00,,,1114,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811254,64.832584,138.199112,2021/08/03 19:36:04+00,,,1115,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811218,64.832538,138.585526,2021/08/03 19:36:45+00,,,1116,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811258,64.832536,137.422562,2021/08/03 19:38:17+00,,,1117,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.81144,64.832569,137.857803,2021/08/03 19:39:34+00,,,1118,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811266,64.832522,140.137634,2021/08/03 19:42:48+00,,,1119,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811362,64.832695,136.017654,2021/08/03 19:48:10+00,,,1120,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811187,64.832568,135.410233,2021/08/03 19:52:23+00,,,1121,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811245,64.832571,139.860245,2021/08/03 19:53:22+00,,,1122,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811323,64.83259,139.144821,2021/08/03 19:54:43+00,,,1123,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811362,64.832588,139.883881,2021/08/03 19:55:42+00,,,1124,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811405,64.832613,142.695145,2021/08/03 19:56:25+00,,,1125,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.81145,64.832598,142.500916,2021/08/03 19:57:04+00,,,1126,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811561,64.832614,140.551468,2021/08/03 19:57:32+00,,,1127,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811663,64.832629,139.848984,2021/08/03 19:58:25+00,,,1128,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811135,64.832558,140.581238,2021/08/03 20:04:24+00,,,1129,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811164,64.832541,140.406372,2021/08/03 20:10:34+00,,,1130,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811272,64.832561,138.933762,2021/08/03 20:12:42+00,,,1131,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811312,64.832562,138.205734,2021/08/03 20:14:41+00,,,1132,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811381,64.832567,137.882248,2021/08/03 20:16:39+00,,,1133,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811479,64.832578,141.17424,2021/08/03 20:19:31+00,,,1134,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811546,64.832576,139.289627,2021/08/03 20:21:02+00,,,1135,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811611,64.832583,138.256165,2021/08/03 20:21:31+00,,,1136,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.81117,64.832535,138.152512,2021/08/03 20:31:57+00,,,1137,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811249,64.832537,140.172821,2021/08/03 20:33:20+00,,,1138,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.81133,64.832551,139.333069,2021/08/03 20:36:08+00,,,1139,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811423,64.832551,137.004593,2021/08/03 20:37:20+00,,,1140,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.8115,64.832549,137.204117,2021/08/03 20:38:12+00,,,1141,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.811574,64.832561,139.121017,2021/08/03 20:39:04+00,,,1142,,,,,,,,,,"Flag, Blue",,,,,,,,
-147.81169,64.832562,137.831085,2021/08/03 20:40:46+00,,,1143,,,,,,,,,,"Flag, Blue",,,,,,,,
